1,"Dénomination, raison sociale :",1,,1,,
2,"Effectifs de votre entreprise :",1,,2,,
3,"Effectifs du site sur lequel vous travaillez
      (si votre entreprise appartient à un grand groupe) :
      ",1,,3,,
4,"Secteur d’activité de votre entreprise :",1,,4,,
5,"Activité de votre entreprise :",1,,5,,
6,"Combien de temps a duré la période de recherche de votre premier emploi ?",2,,1,,
7,"A quelle date avez-vous eu votre premier emploi ?",2,,2,,
8,"Sous quel type de contrat (CDI, CDD …..) ?",2,,3,,
9,"Quel est votre statut (Cadre, agent de maîtrise, …….) ?",2,,4,,
10,"Quel est votre salaire annuel BRUT ?",2,,5,,
11,"Avez-vous créé votre entreprise ? Depuis quand ? Quel type d’entreprise ?",2,,6,,
12,"Etes-vous associé de votre entreprise ? ",2,,7,,
13,"Quelle est la désignation de votre métier / de votre (vos) fonctions ? ",2,,8,,
14,"Quelles sont vos activités les plus fréquentes ? Activité 1 ? Activité 2 ?",2,,9,,
15,"Une habilitation est-elle nécessaire dans votre métier ? ",2,,10,,
16,"Quel est votre niveau d’autonomie ? ",2,,11,,
17,"Quelle est la nature de vos responsabilités ?",2,,12,,
18,"Quel est votre niveau hiérarchique ?",2,,13,,
19,"Quelle est la fonction de votre supérieur hiérarchique ?",2,,14,,
20,"Avec quel service travaillez-vous le plus ?",2,,15,,
21,"Où vous situez-vous dans l’organigramme de l’entreprise ?",2,,16,,
22,"Etes-vous en contact direct avec le client ? seul ou sous responsabilité ?",2,,17,,
23,"Combien de temps a duré la période de recherche de votre premier emploi ?",3,,1,,
24,"A quelle date avez-vous eu votre premier emploi ?",3,,2,,
25,"Sous quel type de contrat (CDI, CDD …..) ?",3,,3,,
26,"Quel est votre statut (Cadre, agent de maîtrise, …….) ?",3,,4,,
27,"Quel est votre salaire annuel BRUT ?",3,,5,,
28,"Avez-vous créé votre entreprise ? Depuis quand ? Quel type d’entreprise ?",3,,6,,
29,"Etes-vous associé de votre entreprise ? ",3,,7,,
30,"Quelle est la désignation de votre métier / de votre (vos) fonctions ? ",3,,8,,
31,"Quelles sont vos activités les plus fréquentes ? Activité 1 ? Activité 2 ?",3,,9,,
32,"Une habilitation est-elle nécessaire dans votre métier ? ",3,,10,,
33,"Quel est votre niveau d’autonomie ? ",3,,11,,
34,"Quelle est la nature de vos responsabilités ?",3,,12,,
35,"Quel est votre niveau hiérarchique ?",3,,13,,
36,"Quelle est la fonction de votre supérieur hiérarchique ?",3,,14,,
37,"Avec quel service travaillez-vous le plus ?",3,,15,,
38,"Où vous situez-vous dans l’organigramme de l’entreprise ?",3,,16,,
39,"Etes-vous en contact direct avec le client ? seul ou sous responsabilité ?",3,,17,,
40,"Que vous a-t-il manqué en termes de contenus ou de méthodes ?",4,,1,,
41,"Avez-vous passé d’autres certifications, homologations, ou formations ? Si oui, les compétences ou connaissances acquises en ASI étaient-elles nécessaires et suffisantes ?",4,,2,,
42,"En quoi jugez-vous cette certification pertinente au vu de votre métier ?",4,,3,,
43,"En quoi cette certification ne s’intègre-t-elle pas dans votre champ activité professionnel ?",4,,4,,
44,"Pensez-vous être surqualifié par rapport à l’emploi que vous occupez ?",4,,5,,
45,"Sur les pages suivantes, figure le référentiel de compétences de ASI Indiquez les compétences que vous mettez le plus souvent en œuvre",5,,6,,
46,"Pensez-vous exercer un métier conforme à ce qui vous a poussé à entrer dans la formation ?",6,,1,,
47,"Pensez-vous exercer un métier conforme à ce que vous espériez en sortant de  la formation ?",6,,2,,
48,"Quelle modification à apporter à la formation ASI vous semble judicieuse ?",7,,1,,
